,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_61,0.6649999999999999,0.0001,-131515.10184079612,107.0,0.7940058365112286,6.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_62,0.0323468481513049,8.48347238984375e-14,-58979.24585190876,121.0,0.8165350464515878,5.0,1.0,75.25,0.0020945083014048,0.1662344655809786,0.0131147540983606,0.0032643678160919,0.0,1.0,0.0472894016237466,1.1623989507560095e-07,0.1924354168550094,-0.0761319571046137
danish_atm_daily_63,0.0039937950739673,1.831736364048533e-05,-99112.25789665656,99.0,0.8099338997176275,5.0,1.0,60.0,0.0018619270611607,0.0638848336074594,0.0163934426229508,0.0021264367816091,0.0,1.0,0.0197698571229615,1.547511772470059e-07,0.1799612423078415,0.0216970535966271
danish_atm_daily_64,0.0743338421513756,0.0,-132917.94581752818,111.0,0.8135784655414598,6.0,1.0,75.0,0.0023512132822477,0.166881144696448,0.0163934426229508,0.0035057471264367,0.0,1.0,0.0112442074412885,1.581141444706327e-07,-0.1060936701806782,0.0919784284243176
danish_atm_daily_65,0.0001232177435142,6.222168388233011e-06,-78522.77178725495,117.0,0.852626676396625,6.0,1.0,75.0,0.0022859372782744,0.1948812594126682,0.0163934426229508,0.0028160919540229,0.0,1.0,0.0228768045433583,1.5271571884913214e-07,0.0339921615009595,0.2182671553611761
danish_atm_daily_66,0.7349880832404179,9.9801391574762e-05,-88189.40980596574,99.0,0.8239076667326637,7.0,1.0,41.142857142857146,0.0071731233148857,0.4071723831691362,0.0557377049180327,0.0135747126436781,0.0,1.0,0.1081413680961264,3.293588497207148e-07,-0.3921698261579543,0.3629672255025192
danish_atm_daily_67,0.0931931506355679,0.0038501532624893,-59101.82662981357,109.0,0.8072926991580952,8.0,1.0,75.25,0.0016154391939832,0.0007886295852111,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0528444727472708,1.0992460081428938e-07,0.1752582985183345,-0.3343569928501363
danish_atm_daily_68,0.2600548169551899,0.0,-126662.6747360321,105.0,0.8477232257269669,4.0,1.0,59.2,0.0043770398751241,0.3312343927612917,0.0295081967213114,0.0076896551724137,0.0,1.0,0.0177809755353167,2.572262641353644e-07,0.2465842846076362,-0.0727271033648973
danish_atm_daily_69,0.0396582149128234,4.6530398266259366e-15,-48741.1076241694,115.0,0.8043851945525262,6.0,1.0,101.0,0.0006436781609195,0.0006131912773547,0.0065573770491803,0.0006436781609195,0.0,1.0,0.0029850406833334,6.847200415494781e-08,-0.0120588192249768,-0.0023892020294639
danish_atm_daily_7,0.0244149115335694,0.0244149115335694,-47338.94763384813,112.0,0.8454452078094387,6.0,1.0,99.0,0.0041867461331062,0.6065363218325219,0.0262295081967213,0.0075402298850574,0.0,1.0,0.3418424270695288,8.715866658926442e-08,0.2922482480761917,0.2334230526696524
danish_atm_daily_70,0.1326274531907773,6.604851124142715e-07,-140322.09881834954,69.0,0.65249727291695,7.0,1.0,101.0,0.0006436781609195,0.0006131912773544,0.0065573770491803,0.0006436781609195,0.0,1.0,0.0049915246907953,6.795105106549004e-08,-0.0127331338956665,0.0777684163816887
danish_atm_daily_71,0.2350730953730978,0.0001151698602373,-81255.87824813783,67.0,0.5896672932034811,22.0,1.0,100.0,0.002772953029658,0.4009249693436055,0.0163934426229508,0.0041954022988505,0.0,1.0,0.0172810416883116,1.553079221385593e-07,0.0556363817899068,-0.0938872489058388
danish_atm_daily_72,0.2369694533458459,0.0,-45278.21886781207,105.0,0.8468678355260885,28.0,1.0,151.5,0.0010534979423868,1.0,0.0065573770491803,0.0013333333333333,0.0,1.0,0.080185690873653,5.137930761670168e-08,0.1898992030295497,-0.1995856271813041
danish_atm_daily_73,0.0505782216237448,2.276530477478024e-08,-47091.51036005085,109.0,0.8189968658465772,6.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_74,0.0470175193695767,7.809954533902983e-15,-39426.8147614932,129.0,0.8044023630299544,9.0,1.0,100.33333333333331,0.0020343408542642,0.4549331021173408,0.0131147540983606,0.0025747126436781,0.0,1.0,0.0512663825705858,1.1272007265043677e-07,0.0830335125601503,-0.2639080137926275
danish_atm_daily_75,0.2757715386434684,7.239903627822946e-09,-23741.060744654613,70.0,0.690683112935456,18.0,1.0,41.285714285714285,0.0053276571590747,0.4683930475059635,0.0524590163934426,0.0198160919540229,0.0,1.0,0.2608260526522991,2.0169511352139554e-07,1.0113642538556429,-0.8922423486525555
danish_atm_daily_76,0.0883512113253258,0.0,-10860.018544762472,121.0,0.8413003526282846,6.0,1.0,60.2,0.0011954022988505,0.002711672904456,0.0131147540983606,0.0011954022988505,0.0,1.0,0.0178794491172141,1.2760948793529561e-07,0.0165126172837259,-0.0436255330568976
danish_atm_daily_77,0.2665541095849327,1.367452317141106e-07,-98213.05586849149,99.0,0.8534460727173334,7.0,1.0,74.5,0.0032276145877678,0.4009718026082139,0.0229508196721311,0.0046091954022988,0.0,1.0,0.0963493130905212,1.698181366916505e-07,-0.0388591458057198,-0.3417964568069961
danish_atm_daily_78,0.057175203888551,2.9977115887190276e-11,-25447.02708096499,107.0,0.8392151751406041,11.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_79,0.1429835461002369,3.75223488910624e-08,-90627.43340369366,111.0,0.8018077103729253,5.0,1.0,101.0,0.0006436781609195,0.0006131912773544,0.0065573770491803,0.0006436781609195,0.0,1.0,0.0113133951927624,6.63457073237415e-08,0.1243493359273999,-0.0617364163659082
danish_atm_daily_8,0.0285374147104747,0.0284862272710132,-102081.17273755444,121.0,0.7778955333667728,4.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_80,0.0758769431058002,0.0689520002168515,-127423.34543330816,20.0,0.7323680818863219,186.0,1.0,75.25,0.0016154391939832,0.1242412083003876,0.0131147540983606,0.0018850574712643,0.0,1.0,0.045537579614183,1.114576028586059e-07,0.3166165620505351,-0.2387187125703028
