naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE_model,RMSSE_model,SMAPE_model,CM_model
nn5_100,3.798631928778369,0.4892378710791472,7.490326464176178,0.7841305381266582,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,BaselineMean
nn5_88,2.728252422769681,0.5443973440324119,15.777377784252169,0.7985010347108887,Prophet,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet,Prophet
nn5_22,2.099257215197867,0.3438849083533046,7.211692631244659,0.735779094459535,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective
nn5_32,5.398956847983388,0.4683988000458569,9.967806190252304,0.7998184115216901,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective
nn5_45,4.178963685866745,0.5230896818007593,8.664166927337646,0.8026010681702245,NeuralProphet,CatBoostAutoRegressivePipelineEtna_horizonlags,NeuralProphet,Prophet
nn5_8,2.5053068103323604,0.6564345765752826,11.874900758266447,0.8010205994537516,NeuralProphet,NeuralProphet,NeuralProphet,BaselineMean
nn5_4,7.220475159963126,0.6380235392476491,8.801054209470749,0.8315346711279958,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_3,6.207810791691339,0.5591337269358169,6.253299862146378,0.816917174256838,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
nn5_17,5.186871777836973,0.3557309967665524,8.35941806435585,0.7719364887050312,TFTTuningObjective,LightAutoML,LightAutoML,Prophet
nn5_76,3.229483328438862,0.5177503750601243,6.480240821838379,0.7926489591530197,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective,BaselineMean
mipt_alpha_304,1226434.843810302,1.4649300311414868,26.98993384838104,0.8881920611781049,Prophet,Prophet,Prophet,OLS
nn5_95,4.530781899312814,0.4250819486641181,6.984122842550278,0.7709473857936184,Prophet,Prophet,NeuralProphet,Prophet
nn5_14,3.935245413392035,0.4429922345840376,6.225142627954483,0.7845363008353415,DeepARTuningObjective,LightAutoML,TFTTuningObjective,Prophet
nn5_26,1.8561755952147945,0.5016417432912017,8.618974685668945,0.7439056486745323,Prophet,Prophet,NeuralProphet,Prophet
nn5_93,3.6494784779486977,0.3460584169264342,7.078792154788971,0.7744349747632457,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_27,3.799191870840424,0.4818098789411306,8.611848205327988,0.8026628366195783,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_25,4.193302745818721,0.5900317927521765,8.93847793340683,0.8191939469536642,LightAutoML,LightAutoML,LightAutoML,LightAutoML
nn5_59,5.213764116061885,0.5447244967368646,7.735370099544525,0.8148422775941333,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
mipt_alpha_326,2388745.9727580915,0.7966683939574135,22.861875593662266,0.8175825190161313,CatBoostDirectPipelineEtna_3lags,CatBoostDirectPipelineEtna_3lags,CatBoostAutoRegressivePipelineEtna_horizonlags,BaselineMean
nn5_75,2.7805177388989604,0.4573299477288207,6.292544305324554,0.7734806996279598,LightAutoML,LightAutoML,LightAutoML,Prophet
nn5_106,4.608006781837983,0.0586165628096836,9.153874963521956,0.6907572665002375,LightAutoML,CatBoostAutoRegressivePipelineEtna_3lags,NeuralProphet,CatBoostAutoRegressivePipelineEtna_3lags
nn5_99,1.8238727641734769,0.3455133542541919,5.622921511530876,0.7221071675516222,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,Prophet
nn5_73,3.3428504660822664,0.5424571475853621,9.845193475484848,0.7894225407701456,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,Prophet
nn5_71,3.117200655419452,0.3362405881577562,10.438261181116104,0.7723460328611154,NeuralProphet,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_30lags
nn5_96,3.6642172319157686,0.4226606201905119,10.641289502382278,0.7801878670435634,NeuralProphet,CatBoostAutoRegressivePipelineEtna_horizonlags,NeuralProphet,BaselineMean
nn5_84,4.09990619459072,0.4343945888047015,10.36410704255104,0.7804276695345327,LightAutoML,LightAutoML,Prophet,Prophet
nn5_94,3.830510233266028,0.3836706242148974,7.23838284611702,0.7577800478827355,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,LightAutoML,BaselineMean
nn5_54,2.277662722723693,0.6065007205618574,8.235034346580505,0.7946241264725811,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_30lags
nn5_34,5.080473653083229,0.4447308140045962,8.849664777517319,0.7955159000898713,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_12,4.034742867786654,0.4552008776709899,6.233032792806625,0.7868586765010612,DeepARTuningObjective,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_78,3.676456920373979,0.4515694351166039,8.52222740650177,0.789693155730494,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_86,4.2071337107416245,0.3609512355227825,6.836401671171188,0.7575173244078683,Prophet,Prophet,Prophet,Prophet
nn5_72,4.674011762480979,0.444615654541754,9.953252226114271,0.7860230745532231,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,CatBoostDirectPipelineEtna_3lags
nn5_47,6.128923366272307,0.5249603300163252,7.847125083208084,0.811500861770801,DeepARTuningObjective,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective
nn5_41,3.8661616033888273,0.3694342188820689,6.074162945151329,0.7569426507629147,Prophet,Prophet,Prophet,Prophet
nn5_29,5.03856246004933,0.4167516658516762,13.241468369960783,0.7833261023989169,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective,CatBoostDirectPipelineEtna_3lags
nn5_89,4.225595529332481,0.3748678524566538,9.738276153802872,0.7747267442659274,LightAutoML,CatBoostAutoRegressivePipelineEtna_horizonlags,TFTTuningObjective,CatBoostDirectPipelineEtna_3lags
nn5_18,5.487826660443834,0.3521330226728458,7.252337038516998,0.7617146724351616,LightAutoML,LightAutoML,LightAutoML,Prophet
nn5_70,3.40934836484748,0.5207889692882782,8.603890985250473,0.8105388218111076,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
