,naming_orig,RMSE,RMSSE,SMAPE,RMSE_model,RMSSE_model,SMAPE_model
154,mipt_alpha_138,1653383.7243761655,0.6288464504368052,15.466716885566711,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,DeepARTuningObjective_gl
155,mipt_alpha_139,1138746.185563754,0.577872877264985,18.76871436834336,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,DeepARTuningObjective_gl
156,mipt_alpha_14,2397266.3428830765,0.7168797388005065,16.146941483020782,NeuralProphet_gl,NeuralProphet_gl,LightAutoML
157,mipt_alpha_140,1747961.6262332534,0.7150371846061441,14.890316128730774,LightAutoML,LightAutoML,CatBoostDirectPipelineEtna_horizonlags
158,mipt_alpha_141,650268.3962303565,0.5652078078670313,22.72517681121826,Prophet,Prophet,CatBoostAutoRegressivePipelineEtna_horizonlags
159,mipt_alpha_142,1250193.0827132263,0.9209580798253916,22.6116806268692,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
160,mipt_alpha_143,1230701.8349153462,0.7155748722790778,17.428459227085114,NeuralProphet,NeuralProphet,NeuralProphet_gl
161,mipt_alpha_144,741202.3885120717,0.7402032014414854,16.46030694246292,DeepARTuningObjective_gl,DeepARTuningObjective_gl,TFTTuningObjective_gl
162,mipt_alpha_145,861687.9761955601,0.7358809064618969,16.219691932201385,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl
163,mipt_alpha_146,1681910.336654127,0.9725945983966956,24.47151094675064,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl
164,mipt_alpha_147,2647635.021711263,0.6436079854443616,18.16236525774002,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
165,mipt_alpha_148,542069.0737977956,0.605419809365032,11.856894940137863,LightAutoML_mult_gl,LightAutoML_mult_gl,LSTNetTuningObjective_gl
166,mipt_alpha_149,1947299.232705647,0.6342035090447086,11.200130730867386,LightAutoML_mult_gl,LightAutoML_mult_gl,TFTTuningObjective_gl
167,mipt_alpha_15,599698.2639694732,0.6337400161586545,15.494433045387268,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
168,mipt_alpha_150,959004.0871487462,0.459147227158405,16.92039519548416,Prophet,Prophet,CatBoostDirectPipelineEtna_horizonlags
169,mipt_alpha_151,1891981.747328446,0.6317837312612228,11.212968081235886,NeuralProphet,NeuralProphet,NeuralProphet
170,mipt_alpha_152,1150682.211615353,0.7635891586599004,65.1250958442688,OLS,OLS,ARIMAEtna
171,mipt_alpha_153,1298372.0364702868,0.7904614694314241,14.035183191299438,LightAutoML_mult_gl,Prophet,LightAutoML_mult_gl
172,mipt_alpha_154,1163161.741984321,0.5720179783302941,26.85931622982025,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
173,mipt_alpha_155,2344861.175210166,0.7831264400717365,17.94891208410263,CatBoostDirectPipelineEtna_30lags_gl,CatBoostDirectPipelineEtna_30lags_gl,TFTTuningObjective_gl
174,mipt_alpha_156,1561824.088839713,0.9554269996626548,19.901567697525024,LightAutoML,LightAutoML,CatBoostAutoRegressivePipelineEtna_horizonlags
175,mipt_alpha_157,3893426.697634874,1.0476033429627458,21.61650061607361,CatBoostDirectPipelineEtna_30lags_gl,NeuralProphet,CatBoostDirectPipelineEtna_30lags_gl
176,mipt_alpha_158,633230.5282343864,0.7178099543544321,15.286560356616974,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl
177,mipt_alpha_159,1654312.4872792324,0.642087240608353,16.11776500940323,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,TFTTuningObjective_gl
178,mipt_alpha_16,1560601.784563891,0.8480363727590328,15.66179096698761,BaselineMean,BaselineMean,Prophet
179,mipt_alpha_160,1602142.9847201528,0.710326023202888,14.07921314239502,DeepARTuningObjective_gl,DeepARTuningObjective_gl,NeuralProphet
180,mipt_alpha_161,988820.8691648856,0.5983425668046392,15.135015547275543,LightAutoML,LightAutoML,NeuralProphet
181,mipt_alpha_162,2143984.089732011,0.9670305309700052,15.978862345218658,TFTTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
182,mipt_alpha_163,2035670.663564222,0.6552178701717793,14.625190198421478,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl
183,mipt_alpha_164,1363793.526378535,0.8067809674659752,13.152378797531128,LightAutoML_mult_gl,LightAutoML,CatBoostDirectPipelineEtna_horizonlags_gl
184,mipt_alpha_165,703982.8943376394,0.5891031618696297,16.735969483852386,DeepARTuningObjective_gl,DeepARTuningObjective_gl,DeepARTuningObjective_gl
185,mipt_alpha_166,2494510.1342203445,1.2968047068022142,21.281041204929352,TFTTuningObjective_gl,TFTTuningObjective_gl,LightAutoML
186,mipt_alpha_167,1688045.287127096,0.867393579325785,20.14019936323166,DeepARTuningObjective_gl,DeepARTuningObjective_gl,LightAutoML
187,mipt_alpha_168,1201920.6270498896,0.5876649237389393,26.10667943954468,LightAutoML,LightAutoML,CatBoostAutoRegressivePipelineEtna_30lags_gl
188,mipt_alpha_169,1360051.7953431038,0.6127064730691953,16.408877074718475,LightAutoML_mult_gl,LightAutoML_mult_gl,CatBoostDirectPipelineEtna_30lags
189,mipt_alpha_17,708042.4332594763,0.7402929021421111,16.88276380300522,LSTNetTuningObjective_gl,LSTNetTuningObjective_gl,CatBoostDirectPipelineEtna_horizonlags_gl
190,mipt_alpha_170,578190.7494244438,0.4820349387715544,10.588614642620088,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl
191,mipt_alpha_171,1296645.5849830362,0.7754818425212476,11.469390988349916,LightAutoML_mult_gl,Prophet,LightAutoML_mult_gl
192,mipt_alpha_172,1733575.2193891096,0.7077137770302878,15.137697756290436,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,TFTTuningObjective_gl
193,mipt_alpha_173,2096113.742990108,0.7687450061176642,14.9345725774765,TFTTuningObjective_gl,TFTTuningObjective_gl,CatBoostDirectPipelineEtna_30lags_gl
194,mipt_alpha_174,1928430.6511897184,0.6886444915138962,12.126205116510391,Prophet,Prophet,Prophet
195,mipt_alpha_175,1355819.6488441965,0.6733205540456418,18.76450926065445,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags
196,mipt_alpha_176,1562444.2360558023,0.6856176702292347,17.70108789205551,Prophet,Prophet,Prophet
197,mipt_alpha_177,1377750.6169927851,0.9416486011203854,20.28044015169144,LightAutoML_mult_gl,LightAutoML_mult_gl,Prophet
198,mipt_alpha_178,2640879.720771849,0.9073194595219592,19.5200189948082,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
199,mipt_alpha_179,2028978.804486632,0.6409227620693594,12.378792464733124,Prophet,Prophet,Prophet
200,mipt_alpha_18,1893796.158897784,0.6651404494962008,19.44258064031601,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,DeepARTuningObjective_gl
201,mipt_alpha_180,1916092.19385707,0.6925950184070998,28.055182099342343,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,LightAutoML
202,mipt_alpha_181,2107090.8239598977,0.544362482965125,16.89119040966034,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags
203,mipt_alpha_182,1355437.3474329235,0.4909544670048526,9.777165949344637,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl
204,mipt_alpha_183,1437048.9712128812,0.5780876124288215,17.740024626255035,LightAutoML,LightAutoML,Prophet
205,mipt_alpha_184,1831497.069831126,1.329082202928964,21.97324633598328,ARIMAEtna,ARIMAEtna,LightAutoML_mult_gl
206,mipt_alpha_185,768768.1704961515,0.5386730350029949,45.87745368480682,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags
207,mipt_alpha_186,1062911.8150288856,0.6772097969326507,13.29137235879898,NeuralProphet,NeuralProphet,NeuralProphet
208,mipt_alpha_187,1147419.2446564594,0.6933062779605434,17.240838706493378,NeuralProphet_gl,NeuralProphet_gl,CatBoostDirectPipelineEtna_horizonlags_gl
209,mipt_alpha_188,1963405.1137185115,0.8971695683465613,21.15543335676193,TFTTuningObjective_gl,TFTTuningObjective_gl,NeuralProphet
210,mipt_alpha_189,2200155.924539895,0.9257122378122442,38.74317705631256,CatBoostDirectPipelineEtna_3lags,CatBoostDirectPipelineEtna_3lags,LightAutoML
211,mipt_alpha_19,2319054.362201973,0.7568884797691032,14.397303760051727,CatBoostAutoRegressivePipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl
212,mipt_alpha_190,1189762.8574468107,1.323422692287325,20.93390077352524,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags
213,mipt_alpha_191,1823458.5110629743,0.6904101644361238,15.662908554077148,NeuralProphet,NeuralProphet,NeuralProphet
214,mipt_alpha_192,2950650.358488447,0.7533532365371308,13.69779258966446,NeuralProphet_gl,NeuralProphet_gl,LSTNetTuningObjective_gl
215,mipt_alpha_193,383696.88303138455,0.8702415934068088,20.964284241199493,Prophet,Prophet,ARIMAEtna
216,mipt_alpha_194,759425.2405181171,0.7893735434943715,16.07169508934021,NeuralProphet,NeuralProphet,NeuralProphet
217,mipt_alpha_195,1072993.4539371617,0.5234650800788949,22.90099263191223,LightAutoML,LightAutoML,DeepARTuningObjective_gl
218,mipt_alpha_196,1433567.4967743931,0.6989660839241222,18.65622699260712,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML
219,mipt_alpha_197,2249687.333269225,0.8786215494659088,14.22738879919052,TFTTuningObjective_gl,TFTTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl
220,mipt_alpha_198,1508356.3448681482,1.246753391423158,32.71552920341492,NeuralProphet_gl,NeuralProphet_gl,NeuralProphet
