,naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE-model,RMSSE-model,SMAPE-model,CM-model
0,danish_atm_daily_0,23.21806258445741,0.4274341350992524,7.026372849941254,0.5240318673664787,TFTTuningObjective_gl,TFTTuningObjective_gl,LightAutoML_mult_gl,OLS
1,danish_atm_daily_1,38.75448090271708,0.7397149643052635,7.451891899108887,0.5388776086856158,LightAutoML,LightAutoML,LightAutoML,OLS
2,danish_atm_daily_10,15.445234947801003,0.2725092106682177,7.352140545845032,0.5443313226383288,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
3,danish_atm_daily_100,14.839147621208689,0.5946262314181341,11.260899901390076,0.5610997166392397,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,TFTTuningObjective_gl,BaselineMean
4,danish_atm_daily_101,37.51949037771069,0.7606832122880225,14.842627942562103,0.5374965264049487,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags,BaselineMean
5,danish_atm_daily_102,32.54018699287467,0.7683554671264476,10.074901580810549,0.6274399034912432,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
6,danish_atm_daily_103,19.65350798144093,0.3454031803911631,30.8191180229187,0.5452958510724435,NeuralProphet,NeuralProphet,Prophet,BaselineMean
7,danish_atm_daily_104,9.366702056854107,0.3517133294354586,33.69623422622681,0.5259872740271399,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags,LightAutoML_mult_gl,BaselineMean
8,danish_atm_daily_105,5.047205863948989,0.4464800290944772,37.374746799468994,0.5199158563210242,LightAutoML,LightAutoML,TFTTuningObjective_gl,BaselineMean
9,danish_atm_daily_106,4.951001984881128,0.0471552109740206,44.25052106380463,0.4086781543415543,LightAutoML,LightAutoML,NeuralProphet,OLS
10,danish_atm_daily_107,4.576532601219444,0.6362721375967698,15.949688851833344,0.5240577733698815,LightAutoML_mult_gl,Prophet,LightAutoML_mult_gl,OLS
11,danish_atm_daily_108,10.709251710768116,0.7370370078387363,8.528496325016022,0.5444360954176208,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
12,danish_atm_daily_109,13.623586598851505,0.8512412456332519,10.224247723817824,0.5916671870217616,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,Prophet,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,OLS
13,danish_atm_daily_11,26.59291916299102,0.4603381797036125,8.42074379324913,0.5523933283489466,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
14,danish_atm_daily_12,14.432621647744844,0.3451639868252375,5.49914613366127,0.544152065698809,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
15,danish_atm_daily_13,15.393305108490702,0.8961914326659456,16.43437296152115,0.5609302292599385,LightAutoML,LightAutoML,LightAutoML,BaselineMean
16,danish_atm_daily_14,13.553430011915458,0.2809012969083529,5.338930711150169,0.5486158403794203,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
17,danish_atm_daily_15,26.80308328229236,0.413081336292468,6.54778778553009,0.5386686413471262,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
