naming_orig,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,RMSE,RMSSE,SMAPE,RMSE_model,RMSSE_model
mipt_alpha_64,0.0992857142857142,0.0458241758241758,-27415120989.561485,243.0,0.7208236292408176,8.0,1.0,166.0,0.0014205068931437,0.3959629224823175,0.0104321907600596,0.0039800995024875,0.0,1.0,0.1110782351458918,1.4969733203073514e-08,-0.3795976284735401,-0.4093215916241828,1369130.4107118505,0.7837015857772632,13.777345418930054,TFTTuningObjective_gl,TFTTuningObjective_gl
mipt_alpha_640,0.0757142857142857,0.0275324675324675,-21046614504.11937,72.0,0.803573154092894,507.0,1.0,223.0,0.0002939846223428,0.2485066935126262,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0234634299577272,6.04122728521877e-09,0.1126522138126723,-0.112031636887503,1170547.6758235863,0.9201510689768408,18.47948431968689,LightAutoML_mult_gl,Prophet
mipt_alpha_641,0.2171428571428571,0.0217142857142857,-110134921200.544,4.0,0.4353532799050187,516.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1803948.9352240544,0.6703367123140622,13.255535066127775,TFTTuningObjective_gl,Prophet
mipt_alpha_642,0.0757142857142857,0.0137662337662337,-30450729527.974564,225.0,0.6956221900875621,21.0,1.0,4.65979381443299,0.0024428363234333,0.7464855285765338,0.3263785394932936,0.0201040253279059,0.0,1.0,0.0316295432129974,6.799805953322046e-08,-0.4784296544718161,-0.581920739903267,1810781.4323412967,0.5473758345288167,45.81149518489838,NeuralProphet,NeuralProphet
mipt_alpha_643,0.2171428571428571,0.0217142857142857,-32797906426.01805,6.0,0.5490045609479297,583.0,1.0,43.266666666666666,0.0037999676142296,0.5952499674588841,0.0327868852459016,0.011026684758028,0.0,1.0,0.2292888961201636,2.5610020345745534e-08,1.1633761794927209,-1.0809650271744888,1244022.3528795615,1.119934871018095,54.92158532142639,CatBoostAutoRegressivePipelineEtna_3lags_gl,BaselineMean
mipt_alpha_644,0.1001864285565274,0.076989417021516,-10323527300.215391,90.0,0.7571687264030412,437.0,1.0,16.44736842105263,0.0074348794746804,0.5415871977225925,0.0685543964232488,0.0115784712799638,0.0,1.0,0.1339104732448774,6.330147258846093e-08,1.8989160652750647,-0.909335798831376,1500556.092419074,0.6146436374682902,39.75335359573364,Prophet,Prophet
mipt_alpha_645,0.2407142857142857,0.0917006802721088,-42460552768.79424,60.0,0.724486604035233,448.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1559599.8206719568,0.974122511909638,22.461067140102383,CatBoostDirectPipelineEtna_3lags,CatBoostDirectPipelineEtna_3lags
mipt_alpha_646,0.1699999999999999,0.11,-22239146541.807724,17.0,0.4541122411657917,485.0,1.0,21.86206896551724,0.0066039611147405,0.6104428471873944,0.0551415797317436,0.0103889642695612,0.0,1.0,0.1585649951758569,4.8178909804217144e-08,1.8496114297306407,-1.2838770135368356,1065748.9385404051,0.8036839830857961,50.52078366279602,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_647,0.1699999999999999,0.0999999999999999,-81055736155.82173,12.0,0.8157447104247944,617.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,2064749.6184167224,0.6367901480435808,15.21228700876236,CatBoostDirectPipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags
mipt_alpha_648,0.0992857142857142,0.0992857142857142,-14994029172.09364,50.0,0.89149224396957,561.0,1.0,34.31578947368421,0.00368628239275,0.6504518406795128,0.0283159463487332,0.0050927182270465,0.0,1.0,0.1388208309798392,3.1894623074079143e-08,0.9945221667365932,-0.8421648478751836,1302670.2815371202,0.6441309971355927,41.52778685092926,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
mipt_alpha_649,0.3585714285714285,0.0573714285714285,-55850791270.46002,4.0,0.7393578692602317,629.0,1.0,334.5,0.0002939846223428,0.0,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0404347485662115,5.707404877270305e-09,0.1296682308189282,-0.1357493838753212,1376667.6527208737,0.8858747175536629,11.455050855875015,LSTNetTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_65,0.1228571428571428,0.0573333333333333,-38894257145.89931,239.0,0.7479369551039368,5.0,1.0,167.0,0.0004341926729986,0.0002642602670007,0.0044709388971684,0.0004341926729986,0.0,1.0,0.0031204794209599,9.661415213818153e-09,0.0824528682484403,-0.0137439283416153,1202527.4579950348,0.6445466543090489,13.590189814567566,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags
mipt_alpha_66,0.0992857142857142,0.0534615384615384,-29397294360.141186,283.0,0.8154246973714355,5.0,1.0,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0170031850422279,3.116731672298938e-09,-0.0630557492849937,-0.0651544632106085,1030490.3433686314,0.5118745605119654,17.403440177440643,DeepARTuningObjective_gl,DeepARTuningObjective_gl
mipt_alpha_67,0.1228571428571428,0.0409523809523809,-11907647706.787045,201.0,0.7356833260601066,41.0,1.0,223.0,0.0002939846223428,0.0001150541113867,0.0029806259314456,0.0002939846223428,0.0,1.0,0.001501619769572,6.5319045337181875e-09,0.0041471979768105,-0.0021307978430573,594897.099700444,0.7209131929084792,16.688768565654755,DeepARTuningObjective_gl,DeepARTuningObjective_gl
mipt_alpha_68,0.0757142857142857,0.0481818181818181,-42370486579.735054,264.0,0.7987014961460117,7.0,1.0,335.0,0.0001492537313432,2.8187143843672047e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025074922832306,3.2807271394061606e-09,-0.0096841394009762,0.0210507843574357,1530941.7298591086,0.715066763693398,17.01875478029251,DeepARTuningObjective_gl,DeepARTuningObjective_gl
